cdm_id,orig_id,file_name
000598,4cc5744a14d8a07414760b271c1801c670149f68,48.json
000348,25a52d1de3a385d6d1405272f7dff0813fcd3b2d,62.json
000886,996940764a066a9c16f622c873ad041ac5521fa3,79.json
000181,f8e429a6906f299a0925f6d70e2570834a7b8dc6,86.json
000011,646cba2e8b30945a2079ec4c671740d5db5676e2,94.json
000822,cc86a588b4e4e038e2591c363b4b895e46edbeda,102.json
000328,84dabfdd73c25b81b7ea0ce23e74638cc6c559ce,119.json
000610,3fbdee096ce9d027da681c5f9c89eb319ff21a9f,158.json
000332,f97b9b19e5a90dce0fc0b098f2a7f70ec36445fb,167.json
000252,1c26bc664022ab5ffb8bca0d077c5d72cac7976f,195.json
000469,72610cfcc7b8bc1e90a08d8cac4f7b53a1e1389b,197.json
000237,375a61863b8873566c75e13630cd9ce9d21f3246,213.json
000985,1514bbfb012abc67c499be84929aa07ddbd59b09,221.json
001038,88c2481234e763c9bbc68d0ab1be1d2375c1349a,230.json
000609,a9f0d9f04f7244eeb27797bd7c45e2a224c2d32f,261.json
000289,540fc636957b4d049d6b4f07ae72c1b3be6ec020,310.json
000019,d85ecb8f44efd363c3d288e7b2befed43b6cc4ac,315.json
000434,54885ae2f80774083a4489cf39c0526d7a2c285f,421.json
000156,2beb3c90dd9c2fe8288f352b6b973b5a0b5dd0dc,432.json
000470,d8ede010d14e6aced953eb7154aa9bbaab7f7e6a,458.json
000910,bf10dc849e5fa7325df269c2b28fcefebb5c956c,504.json
000035,02fbe00a8ca19dbd1ddc989bde8f387e1ea34848,537.json
000813,4b4fa926e45ba654ed6f04598f19499efe3e4c62,556.json
000188,5c99ac4a71d8ede819a8c6003efb179ae37e7b6a,575.json
000378,76726c50778f7c34c359a7c01408e2150b6d3fe0,610.json
000973,1f4aaf00cad1c6272240bd109fd34201b92a0937,639.json
000601,39248d8dcd0c46f96c1c8cf0aced445e13edee99,642.json
000256,1275cdbe17c24e1236d534698613deed31f4bb94,741.json
001063,acfdfe9805bc4cc618561d9814b2231bb2023245,743.json
000293,b8803c87ad83ffc194b4161bfcdd6e9584e7d653,745.json
000043,243729c2c4dc788d36436316da3e24ffff596f71,746.json
000850,4995c1ac8c16b2cbb1cec77f721e2c4011c5d43f,747.json
000214,656a6253699073f08fdb5f65bc3daaafbc35d65b,748.json
000586,8c2f38ff2f1e64fa49665feb36b57e3b2f100a7f,754.json
000631,26feceabd2eecfd0df3ce5971c9809112af71011,758.json
000071,cf38baea64d8984e49ae7964a9820dbd35effce8,768.json
001018,8e94c02e765221aff188fb9bb10bd9a60435ef7c,771.json
000521,65a6e45ea6b2aaadc7c1a2a98b5e322d318aa9e4,781.json
000369,7488fc076e2f244e1c6b9397f66895c184b7aa93,812.json
000448,bec6f91e6dd9864cca047a49bb4d970a089d0a19,819.json
000937,eec44c85102f50e2c93e77b7f9559bb0ece3174e,866.json
000346,97b08731b49487ff25cfcdfccd5a2df6ce1629d4,874.json
000603,a708d1f32b69728b212b7cbf73c29d6b2859e066,884.json
000730,0ad6e0e18918f8ea0c33ac3f4b07f791bfc5929b,893.json
000298,d8017847e5e0fc4e8a8884d603106eea482cb8dc,895.json
000165,96f8964073da222537a7e3432c6186631605d855,902.json
000433,e7e61e9871b891d0a4f7e609cf326b767b7786f9,903.json
000618,88441c8916cb9da4842b747d4df4a8e8f5336f76,932.json
000548,ff08c2796456bf6b42dc8ddda12bd121c6de1437,1021.json
000997,ff9b77ea763eca04aee06b7b4299cbe4aafbb396,1039.json
000815,1027d076dbb423b90447f6f3f8315610aefd682c,1044.json
000108,d271522927ac3d951352743a9219d16e168b8755,1046.json
000671,ebccdbf5779c2d3fa7180747e333dde756aa62fb,1058.json
000792,ca6acd8048ea4dcac27f4766490e32e8161bfc80,1085.json
008116,9a8ab678b2ea98d7b9d42111ab929d3b1e196b52,1110.json
009623,644091bb4cffe45f458487a5a79433c3c120ed24,1193.json
005171,43d8b81b4f6fe35283fb14fa684cfdda0e1af96a,1258.json
006839,610bbd6322594ad14edd37c99f02139835822d6b,1264.json
006299,47d994a60c1a12b9ec70b3d8f521dee8c46577aa,1272.json
001116,cf3d65990918b2ef4de015fc45a988ea2199cb61,1287.json
004916,005ed40b1c58766a61e37d23bf10f8ce81ef6295,1293.json
002288,c85f506937c58a9c2d0b01a8f4d3ba8bc9dba746,1311.json
005488,f58b35b5e1aa6195dee9a1ba51f0144585a5d465,1317.json
008249,3f7f5a3d0d19d6b8aaa91d9b3c10d7ab2a722873,1423.json
007049,9b5ec1bf91a4176492fe684c74921cfe7337b192,1444.json
007021,5bfb2fc75f285365d193dd6ad8ddd2eb047dcdf1,1452.json
009377,74511f36c8359759ac034d05b6cdb6f1614ec18a,1516.json
004110,49d785679ac825d46b9f611fc91661ee96fd113e,1551.json
008283,555a012d93e295242f3847013e27986cff01c72e,1582.json
005877,ad547182bede0194539e701796817ab52ffe8ab0,1588.json
003965,ad3e59747fbd8d4923ef8ec0b8fd89658f19f025,1596.json
011192,887285ae19cdfad69537da854fa89690f10a6181,1612.json
003000,29f1ed8fab7ae733253fb22447f959fa09af68a0,1677.json
011062,636494a6269212efd26632268b5f6cdc35f6ecff,1697.json
004077,54361733464f8aa0d7e98f12a3ff312dea217be0,1709.json
006586,438badb14573981f6c0ba0e20bcd5df7feb57456,1717.json
009781,9ab2254d2f029763b9993d7274d3d7e76e325e12,1739.json
003457,db17a30e9c261bf6616ed04b0dccec8f8daa237c,1802.json
010340,a774a02ca23678faf6de6365f6ea2f58a914370b,1845.json
001729,0eeb762788ef0d6b969464f698fe85cbc9153bab,1852.json
010963,1165c4e11a63658d0d9534acf15f2b883aa805be,1860.json
001374,e1502ae8cb04cbdceee368551cfd65bcf6a16f07,1861.json
003891,b464d11c18c83a631d3da0213b3a35d75fea1bfc,1867.json
009266,fa4375b1bf0a852915f6f679840cf069bb27fa16,1945.json
